TRANSACTIONID,CUSTOMERID,TRANSACTIONAMOUNT,ISSTANDARDORDER,ISURGENT,PRODUCTCATEGORY,WAREHOUSE_COST_BASE,URGENT_SURCHARGE,TOTAL_WAREHOUSE_COST
TXN-2023-008047,CUST-253,363.47,true,true,Fresh,7.27,3.63,10.90
TXN-2023-008048,CUST-253,114.10,true,true,Frozen,2.28,1.14,3.42
TXN-2023-008049,CUST-253,460.31,false,false,Frozen,9.21,0.00,9.21
TXN-2023-008050,CUST-253,492.58,true,false,Fresh,9.85,0.00,9.85
TXN-2023-008051,CUST-253,497.82,true,false,Frozen,9.96,0.00,9.96
TXN-2023-008052,CUST-253,507.46,true,true,Grocery,10.15,5.07,15.22
TXN-2023-008053,CUST-253,420.79,true,false,Fresh,8.42,0.00,8.42
TXN-2023-008054,CUST-253,740.72,true,false,Grocery,14.81,0.00,14.81
TXN-2023-008055,CUST-253,439.55,false,false,Fresh,8.79,0.00,8.79
TXN-2023-008056,CUST-253,693.78,true,false,Frozen,13.88,0.00,13.88
TXN-2023-008057,CUST-253,503.43,true,false,Delicatessen,10.07,0.00,10.07
TXN-2023-008058,CUST-253,283.30,true,false,Fresh,5.67,0.00,5.67
TXN-2023-008059,CUST-253,141.16,true,false,Fresh,2.82,0.00,2.82
TXN-2023-008060,CUST-253,663.41,true,false,Frozen,13.27,0.00,13.27
TXN-2023-008061,CUST-253,159.58,false,true,Fresh,3.19,1.60,4.79
TXN-2023-008062,CUST-253,982.84,true,false,Frozen,19.66,0.00,19.66
TXN-2023-008063,CUST-253,526.08,true,false,Milk,10.52,0.00,10.52
TXN-2023-008064,CUST-253,366.14,false,true,Frozen,7.32,3.66,10.98
TXN-2023-008065,CUST-253,928.57,true,false,Fresh,18.57,0.00,18.57
TXN-2023-008066,CUST-253,624.48,true,false,Fresh,12.49,0.00,12.49
TXN-2023-008067,CUST-253,221.28,false,false,Frozen,4.43,0.00,4.43
TXN-2023-008068,CUST-253,1186.20,false,true,Fresh,23.72,11.86,35.59
TXN-2023-008069,CUST-253,731.68,true,false,Frozen,14.63,0.00,14.63
TXN-2023-008070,CUST-253,1119.38,false,false,Fresh,22.39,0.00,22.39
TXN-2023-008071,CUST-253,337.83,true,false,Grocery,6.76,0.00,6.76
TXN-2023-008072,CUST-253,474.29,false,false,Grocery,9.49,0.00,9.49
TXN-2023-008073,CUST-253,668.19,false,false,Frozen,13.36,0.00,13.36
TXN-2023-008074,CUST-253,1112.56,true,false,Fresh,22.25,0.00,22.25
TXN-2023-008075,CUST-253,196.25,true,false,Fresh,3.93,0.00,3.93
TXN-2023-008076,CUST-253,330.42,false,false,Grocery,6.61,0.00,6.61
TXN-2023-008077,CUST-253,509.73,true,false,Frozen,10.19,0.00,10.19
TXN-2023-008078,CUST-253,1136.63,false,true,Grocery,22.73,11.37,34.10
TXN-2023-008079,CUST-253,918.35,false,false,Fresh,18.37,0.00,18.37
TXN-2023-008080,CUST-253,716.14,true,false,Fresh,14.32,0.00,14.32
TXN-2023-008081,CUST-253,362.39,false,false,Fresh,7.25,0.00,7.25
TXN-2023-008082,CUST-253,694.99,false,false,Grocery,13.90,0.00,13.90
TXN-2023-008083,CUST-253,526.02,false,false,Delicatessen,10.52,0.00,10.52
TXN-2023-008084,CUST-254,860.07,false,false,Fresh,17.20,0.00,17.20
TXN-2023-008085,CUST-254,1523.97,false,false,Milk,30.48,0.00,30.48
TXN-2023-008086,CUST-254,786.94,false,true,Milk,15.74,7.87,23.61
TXN-2023-008087,CUST-254,1821.58,true,false,Fresh,36.43,0.00,36.43
TXN-2023-008088,CUST-254,499.59,true,false,Grocery,9.99,0.00,9.99
TXN-2023-008089,CUST-254,1042.94,true,false,Grocery,20.86,0.00,20.86
TXN-2023-008090,CUST-254,1656.20,false,false,Fresh,33.12,0.00,33.12
TXN-2023-008091,CUST-254,1521.62,false,true,Grocery,30.43,15.22,45.65
TXN-2023-008092,CUST-254,1439.61,true,false,Milk,28.79,0.00,28.79
TXN-2023-008093,CUST-254,1089.68,true,false,Fresh,21.79,0.00,21.79
TXN-2023-008094,CUST-254,1144.36,true,true,Fresh,22.89,11.44,34.33
TXN-2023-008095,CUST-254,1706.93,true,false,Fresh,34.14,0.00,34.14
TXN-2023-008096,CUST-254,1141.09,true,false,Grocery,22.82,0.00,22.82
TXN-2023-008097,CUST-254,1828.29,false,false,Fresh,36.57,0.00,36.57
TXN-2023-008098,CUST-254,771.23,true,false,Fresh,15.42,0.00,15.42
TXN-2023-008099,CUST-254,957.32,true,false,Grocery,19.15,0.00,19.15
TXN-2023-008100,CUST-254,432.25,false,false,Fresh,8.65,0.00,8.65
TXN-2023-008101,CUST-254,1202.43,false,false,Fresh,24.05,0.00,24.05
TXN-2023-008102,CUST-254,540.52,true,false,Fresh,10.81,0.00,10.81
TXN-2023-008103,CUST-254,1180.65,false,true,Grocery,23.61,11.81,35.42
TXN-2023-008104,CUST-254,840.13,true,false,Fresh,16.80,0.00,16.80
TXN-2023-008105,CUST-254,1106.92,false,false,Fresh,22.14,0.00,22.14
TXN-2023-008106,CUST-254,1570.39,true,true,Fresh,31.41,15.70,47.11
TXN-2023-008107,CUST-254,1437.56,false,false,Fresh,28.75,0.00,28.75
TXN-2023-008108,CUST-254,897.00,true,false,Fresh,17.94,0.00,17.94
TXN-2023-008109,CUST-254,1145.03,true,false,Fresh,22.90,0.00,22.90
TXN-2023-008110,CUST-254,1620.10,false,false,Grocery,32.40,0.00,32.40
TXN-2023-008111,CUST-254,976.25,true,false,Fresh,19.53,0.00,19.53
TXN-2023-008112,CUST-254,559.10,true,false,Fresh,11.18,0.00,11.18
TXN-2023-008113,CUST-254,667.96,true,false,Fresh,13.36,0.00,13.36
TXN-2023-008114,CUST-254,1243.03,false,false,Fresh,24.86,0.00,24.86
TXN-2023-008115,CUST-254,921.21,true,false,Grocery,18.42,0.00,18.42
TXN-2023-008116,CUST-254,555.58,false,false,Delicatessen,11.11,0.00,11.11
TXN-2023-008117,CUST-254,1685.37,false,false,Milk,33.71,0.00,33.71
TXN-2023-008118,CUST-254,2298.10,false,true,Fresh,57.45,22.98,80.43
TXN-2023-008119,CUST-254,1079.58,false,false,Milk,21.59,0.00,21.59
TXN-2023-008120,CUST-254,1016.68,false,false,Grocery,20.33,0.00,20.33
TXN-2023-008121,CUST-254,1033.40,false,false,Milk,20.67,0.00,20.67
TXN-2023-008122,CUST-254,568.14,false,true,Fresh,11.36,5.68,17.04
TXN-2023-008123,CUST-254,642.29,true,false,Fresh,12.85,0.00,12.85
TXN-2023-008124,CUST-254,1137.48,true,false,Fresh,22.75,0.00,22.75
TXN-2023-008125,CUST-254,730.40,false,false,Grocery,14.61,0.00,14.61
TXN-2023-008126,CUST-254,1205.13,false,false,Fresh,24.10,0.00,24.10
TXN-2023-008127,CUST-254,1490.51,false,true,Fresh,29.81,14.91,44.72
TXN-2023-008128,CUST-254,872.86,true,false,Fresh,17.46,0.00,17.46
TXN-2023-008129,CUST-254,1829.90,false,true,Milk,36.60,18.30,54.90
TXN-2023-008130,CUST-254,1368.17,false,false,Grocery,27.36,0.00,27.36
TXN-2023-008131,CUST-254,559.43,false,false,Grocery,11.19,0.00,11.19
TXN-2023-008132,CUST-254,1746.63,true,false,Grocery,34.93,0.00,34.93
TXN-2023-008133,CUST-254,687.39,false,false,Fresh,13.75,0.00,13.75
TXN-2023-008134,CUST-255,1207.72,true,false,Fresh,24.15,0.00,24.15
TXN-2023-008135,CUST-255,534.94,false,false,Fresh,10.70,0.00,10.70
TXN-2023-008136,CUST-255,1375.17,true,false,Milk,27.50,0.00,27.50
TXN-2023-008137,CUST-255,812.63,false,false,Milk,16.25,0.00,16.25
TXN-2023-008138,CUST-255,1018.13,false,true,Grocery,20.36,10.18,30.54
TXN-2023-008139,CUST-255,676.21,true,false,Milk,13.52,0.00,13.52
TXN-2023-008140,CUST-255,745.71,true,false,Milk,14.91,0.00,14.91
TXN-2023-008141,CUST-255,1471.65,false,false,Grocery,29.43,0.00,29.43
TXN-2023-008142,CUST-255,1303.97,true,false,Fresh,26.08,0.00,26.08
TXN-2023-008143,CUST-255,623.18,false,false,Grocery,12.46,0.00,12.46
TXN-2023-008144,CUST-255,1200.09,true,true,Frozen,24.00,12.00,36.00
TXN-2023-008145,CUST-255,700.43,true,false,Milk,14.01,0.00,14.01
TXN-2023-008146,CUST-255,1815.03,true,false,Fresh,36.30,0.00,36.30
TXN-2023-008147,CUST-255,776.04,true,false,Frozen,15.52,0.00,15.52
TXN-2023-008148,CUST-255,1452.62,true,false,Milk,29.05,0.00,29.05
TXN-2023-008149,CUST-255,557.79,false,false,Fresh,11.16,0.00,11.16
TXN-2023-008150,CUST-255,1473.09,true,false,Frozen,29.46,0.00,29.46
TXN-2023-008151,CUST-255,728.57,true,false,Grocery,14.57,0.00,14.57
TXN-2023-008152,CUST-255,1030.53,false,false,DetergentsPaper,20.61,0.00,20.61
TXN-2023-008153,CUST-255,937.89,false,false,Milk,18.76,0.00,18.76
TXN-2023-008154,CUST-255,1503.87,false,false,Grocery,30.08,0.00,30.08
TXN-2023-008155,CUST-255,959.18,false,false,Grocery,19.18,0.00,19.18
TXN-2023-008156,CUST-255,661.61,false,false,Frozen,13.23,0.00,13.23
TXN-2023-008157,CUST-255,1349.00,true,false,Frozen,26.98,0.00,26.98
TXN-2023-008158,CUST-255,508.23,true,false,Milk,10.16,0.00,10.16
TXN-2023-008159,CUST-255,644.07,true,false,Fresh,12.88,0.00,12.88
TXN-2023-008160,CUST-255,1117.47,true,false,Milk,22.35,0.00,22.35
TXN-2023-008161,CUST-255,1468.11,true,false,Frozen,29.36,0.00,29.36
TXN-2023-008162,CUST-255,1412.80,true,false,Milk,28.26,0.00,28.26
TXN-2023-008163,CUST-255,1417.89,true,false,Milk,28.36,0.00,28.36
TXN-2023-008164,CUST-255,307.01,true,true,Milk,6.14,3.07,9.21
TXN-2023-008165,CUST-255,1021.43,false,false,Milk,20.43,0.00,20.43
TXN-2023-008166,CUST-255,1090.07,false,false,Fresh,21.80,0.00,21.80
TXN-2023-008167,CUST-255,482.90,false,false,Grocery,9.66,0.00,9.66
TXN-2023-008168,CUST-255,441.93,true,false,Delicatessen,8.84,0.00,8.84
TXN-2023-008169,CUST-255,804.02,true,false,Milk,16.08,0.00,16.08
TXN-2023-008170,CUST-255,1539.65,false,false,Fresh,30.79,0.00,30.79
TXN-2023-008171,CUST-255,869.20,true,false,Delicatessen,17.38,0.00,17.38
TXN-2023-008172,CUST-255,1219.77,true,false,Fresh,24.40,0.00,24.40
TXN-2023-008173,CUST-255,864.82,false,false,DetergentsPaper,17.30,0.00,17.30
TXN-2023-008174,CUST-255,1524.45,true,false,Grocery,30.49,0.00,30.49
TXN-2023-008175,CUST-255,948.11,false,false,DetergentsPaper,18.96,0.00,18.96
TXN-2023-008176,CUST-256,946.55,true,true,Fresh,18.93,9.47,28.40
TXN-2023-008177,CUST-256,987.74,false,false,Milk,19.75,0.00,19.75
TXN-2023-008178,CUST-256,572.35,false,false,Fresh,11.45,0.00,11.45
TXN-2023-008179,CUST-256,931.53,true,false,Fresh,18.63,0.00,18.63
TXN-2023-008180,CUST-256,776.69,false,false,Fresh,15.53,0.00,15.53
TXN-2023-008181,CUST-256,2085.42,true,false,Fresh,52.14,0.00,52.14
TXN-2023-008182,CUST-256,543.73,true,false,Fresh,10.87,0.00,10.87
TXN-2023-008183,CUST-256,845.06,false,false,Fresh,16.90,0.00,16.90
TXN-2023-008184,CUST-256,767.33,false,false,Delicatessen,15.35,0.00,15.35
TXN-2023-008185,CUST-256,518.72,false,false,Fresh,10.37,0.00,10.37
TXN-2023-008186,CUST-256,603.40,false,false,Fresh,12.07,0.00,12.07
TXN-2023-008187,CUST-256,805.05,true,false,Fresh,16.10,0.00,16.10
TXN-2023-008188,CUST-256,839.51,true,true,Frozen,16.79,8.40,25.19
TXN-2023-008189,CUST-256,508.63,false,false,Fresh,10.17,0.00,10.17
TXN-2023-008190,CUST-256,561.77,true,false,Fresh,11.24,0.00,11.24
TXN-2023-008191,CUST-256,1579.16,true,false,Fresh,31.58,0.00,31.58
TXN-2023-008192,CUST-256,1103.30,false,false,Fresh,22.07,0.00,22.07
TXN-2023-008193,CUST-256,1290.76,true,false,Fresh,25.82,0.00,25.82
TXN-2023-008194,CUST-256,521.58,true,true,Fresh,10.43,5.22,15.65
TXN-2023-008195,CUST-256,1073.57,true,false,Frozen,21.47,0.00,21.47
TXN-2023-008196,CUST-256,950.62,true,false,Fresh,19.01,0.00,19.01
TXN-2023-008197,CUST-256,629.41,true,false,Fresh,12.59,0.00,12.59
TXN-2023-008198,CUST-256,879.23,true,false,Fresh,17.58,0.00,17.58
TXN-2023-008199,CUST-256,812.31,false,false,Fresh,16.25,0.00,16.25
TXN-2023-008200,CUST-256,425.10,false,false,Fresh,8.50,0.00,8.50
TXN-2023-008201,CUST-256,781.79,true,false,Fresh,15.64,0.00,15.64
TXN-2023-008202,CUST-256,372.19,true,false,Frozen,7.44,0.00,7.44
TXN-2023-008203,CUST-256,1127.82,false,false,Fresh,22.56,0.00,22.56
TXN-2023-008204,CUST-256,505.36,false,false,Delicatessen,10.11,0.00,10.11
TXN-2023-008205,CUST-256,1067.58,true,false,Fresh,21.35,0.00,21.35
TXN-2023-008206,CUST-256,806.05,false,false,Fresh,16.12,0.00,16.12
TXN-2023-008207,CUST-256,947.74,false,false,Fresh,18.95,0.00,18.95
TXN-2023-008208,CUST-256,513.74,true,false,Fresh,10.27,0.00,10.27
TXN-2023-008209,CUST-256,716.04,false,false,Fresh,14.32,0.00,14.32
TXN-2023-008210,CUST-256,928.65,true,false,Fresh,18.57,0.00,18.57
TXN-2023-008211,CUST-256,656.01,false,false,Fresh,13.12,0.00,13.12
TXN-2023-008212,CUST-256,749.14,true,false,Fresh,14.98,0.00,14.98
TXN-2023-008213,CUST-256,1158.61,false,false,Fresh,23.17,0.00,23.17
TXN-2023-008214,CUST-256,1094.08,true,false,Fresh,21.88,0.00,21.88
TXN-2023-008215,CUST-256,2046.41,true,false,Milk,51.16,0.00,51.16
TXN-2023-008216,CUST-256,867.84,true,false,Fresh,17.36,0.00,17.36
TXN-2023-008217,CUST-256,619.81,true,false,Fresh,12.40,0.00,12.40
TXN-2023-008218,CUST-256,759.13,true,false,Fresh,15.18,0.00,15.18
TXN-2023-008219,CUST-256,289.48,true,false,Milk,5.79,0.00,5.79
TXN-2023-008220,CUST-257,204.54,true,true,Fresh,4.09,2.05,6.14
TXN-2023-008221,CUST-257,628.38,false,false,Fresh,12.57,0.00,12.57
TXN-2023-008222,CUST-257,317.91,true,false,Grocery,6.36,0.00,6.36
TXN-2023-008223,CUST-257,221.16,false,false,Fresh,4.42,0.00,4.42
TXN-2023-008224,CUST-257,613.41,true,false,Grocery,12.27,0.00,12.27
TXN-2023-008225,CUST-257,314.47,true,false,Grocery,6.29,0.00,6.29
TXN-2023-008226,CUST-257,907.18,false,false,Milk,18.14,0.00,18.14
TXN-2023-008227,CUST-257,824.89,true,false,Milk,16.50,0.00,16.50
TXN-2023-008228,CUST-257,598.38,false,false,Fresh,11.97,0.00,11.97
TXN-2023-008229,CUST-257,979.92,true,false,Milk,19.60,0.00,19.60
TXN-2023-008230,CUST-257,594.83,true,false,Milk,11.90,0.00,11.90
TXN-2023-008231,CUST-257,344.40,true,false,Fresh,6.89,0.00,6.89
TXN-2023-008232,CUST-257,852.34,true,false,Fresh,17.05,0.00,17.05
TXN-2023-008233,CUST-257,169.61,false,false,Milk,3.39,0.00,3.39
TXN-2023-008234,CUST-257,963.07,true,true,Milk,19.26,9.63,28.89
TXN-2023-008235,CUST-257,534.95,true,false,Fresh,10.70,0.00,10.70
TXN-2023-008236,CUST-257,171.09,false,false,Grocery,3.42,0.00,3.42
TXN-2023-008237,CUST-257,341.35,true,true,Milk,6.83,3.41,10.24
TXN-2023-008238,CUST-257,192.15,true,false,Milk,3.84,0.00,3.84
TXN-2023-008239,CUST-257,252.93,true,false,Milk,5.06,0.00,5.06
TXN-2023-008240,CUST-257,210.15,false,false,Grocery,4.20,0.00,4.20
TXN-2023-008241,CUST-257,844.29,true,false,Grocery,16.89,0.00,16.89
TXN-2023-008242,CUST-257,674.22,true,false,Grocery,13.48,0.00,13.48
TXN-2023-008243,CUST-257,182.66,true,false,Fresh,3.65,0.00,3.65
TXN-2023-008244,CUST-257,234.21,true,true,Fresh,4.68,2.34,7.03
TXN-2023-008245,CUST-257,351.33,true,false,Fresh,7.03,0.00,7.03
TXN-2023-008246,CUST-257,128.56,true,true,Fresh,2.57,1.29,3.86
TXN-2023-008247,CUST-257,861.29,true,false,Fresh,17.23,0.00,17.23
TXN-2023-008248,CUST-257,684.81,true,false,Milk,13.70,0.00,13.70
TXN-2023-008249,CUST-257,176.07,false,true,Grocery,3.52,1.76,5.28
TXN-2023-008250,CUST-257,721.89,false,false,Milk,14.44,0.00,14.44
TXN-2023-008251,CUST-257,193.79,true,false,Fresh,3.88,0.00,3.88
TXN-2023-008252,CUST-257,879.69,false,false,Fresh,17.59,0.00,17.59
TXN-2023-008253,CUST-257,243.05,false,false,Grocery,4.86,0.00,4.86
TXN-2023-008254,CUST-257,480.02,true,false,Fresh,9.60,0.00,9.60
TXN-2023-008255,CUST-257,581.80,true,false,Milk,11.64,0.00,11.64
TXN-2023-008256,CUST-257,246.03,true,false,Fresh,4.92,0.00,4.92
TXN-2023-008257,CUST-257,588.47,true,false,Fresh,11.77,0.00,11.77
TXN-2023-008258,CUST-257,317.26,false,true,Fresh,6.35,3.17,9.52
TXN-2023-008259,CUST-257,768.00,false,false,Milk,15.36,0.00,15.36
TXN-2023-008260,CUST-257,358.89,true,false,Grocery,7.18,0.00,7.18
TXN-2023-008261,CUST-257,910.57,true,false,Fresh,18.21,0.00,18.21
TXN-2023-008262,CUST-257,515.84,false,false,Milk,10.32,0.00,10.32
TXN-2023-008263,CUST-257,288.68,true,true,Fresh,5.77,2.89,8.66
TXN-2023-008264,CUST-257,382.65,true,false,Grocery,7.65,0.00,7.65
TXN-2023-008265,CUST-257,477.66,true,false,Fresh,9.55,0.00,9.55
TXN-2023-008266,CUST-257,238.16,true,false,Grocery,4.76,0.00,4.76
TXN-2023-008267,CUST-258,277.26,true,false,Fresh,5.55,0.00,5.55
TXN-2023-008268,CUST-258,291.12,true,false,Fresh,5.82,0.00,5.82
TXN-2023-008269,CUST-258,595.90,true,false,DetergentsPaper,11.92,0.00,11.92
TXN-2023-008270,CUST-258,599.93,false,false,Milk,12.00,0.00,12.00
TXN-2023-008271,CUST-258,456.87,false,false,Delicatessen,9.14,0.00,9.14
TXN-2023-008272,CUST-258,444.64,true,false,DetergentsPaper,8.89,0.00,8.89
TXN-2023-008273,CUST-258,224.81,true,false,Fresh,4.50,0.00,4.50
TXN-2023-008274,CUST-258,377.29,false,true,Fresh,7.55,3.77,11.32
TXN-2023-008275,CUST-258,234.96,true,true,Frozen,4.70,2.35,7.05
TXN-2023-008276,CUST-258,872.56,false,false,DetergentsPaper,17.45,0.00,17.45
TXN-2023-008277,CUST-258,888.39,false,true,Grocery,17.77,8.88,26.65
TXN-2023-008278,CUST-258,281.90,true,true,Fresh,5.64,2.82,8.46
TXN-2023-008279,CUST-258,205.33,true,false,Fresh,4.11,0.00,4.11
TXN-2023-008280,CUST-258,363.36,true,false,Grocery,7.27,0.00,7.27
TXN-2023-008281,CUST-258,451.72,true,true,Frozen,9.03,4.52,13.55
TXN-2023-008282,CUST-258,624.60,true,true,Frozen,12.49,6.25,18.74
TXN-2023-008283,CUST-258,566.57,true,false,Milk,11.33,0.00,11.33
TXN-2023-008284,CUST-258,391.02,false,false,DetergentsPaper,7.82,0.00,7.82
TXN-2023-008285,CUST-258,381.06,true,true,Fresh,7.62,3.81,11.43
TXN-2023-008286,CUST-258,557.71,true,true,Frozen,11.15,5.58,16.73
TXN-2023-008287,CUST-258,254.23,true,false,Frozen,5.08,0.00,5.08
TXN-2023-008288,CUST-258,518.73,true,false,Frozen,10.37,0.00,10.37
TXN-2023-008289,CUST-258,651.61,true,false,DetergentsPaper,13.03,0.00,13.03
TXN-2023-008290,CUST-258,621.24,false,false,Fresh,12.42,0.00,12.42
TXN-2023-008291,CUST-258,281.49,true,false,Grocery,5.63,0.00,5.63
TXN-2023-008292,CUST-258,1059.77,true,false,Frozen,21.20,0.00,21.20
TXN-2023-008293,CUST-258,294.51,true,false,Milk,5.89,0.00,5.89
TXN-2023-008294,CUST-258,789.19,true,false,Frozen,15.78,0.00,15.78
TXN-2023-008295,CUST-258,834.82,false,false,Fresh,16.70,0.00,16.70
TXN-2023-008296,CUST-258,553.66,true,false,Delicatessen,11.07,0.00,11.07
TXN-2023-008297,CUST-258,760.00,false,false,Frozen,15.20,0.00,15.20
TXN-2023-008298,CUST-258,1227.20,true,false,DetergentsPaper,24.54,0.00,24.54
TXN-2023-008299,CUST-258,1081.08,false,false,Fresh,21.62,0.00,21.62
TXN-2023-008300,CUST-258,910.28,false,false,Frozen,18.21,0.00,18.21
TXN-2023-008301,CUST-258,339.19,false,false,Frozen,6.78,0.00,6.78
TXN-2023-008302,CUST-258,582.60,true,false,Frozen,11.65,0.00,11.65
TXN-2023-008303,CUST-258,341.68,false,false,Fresh,6.83,0.00,6.83
TXN-2023-008304,CUST-258,390.34,true,false,Milk,7.81,0.00,7.81
TXN-2023-008305,CUST-258,341.31,false,false,Frozen,6.83,0.00,6.83
TXN-2023-008306,CUST-258,314.38,true,false,Grocery,6.29,0.00,6.29
TXN-2023-008307,CUST-258,638.64,true,false,Milk,12.77,0.00,12.77
TXN-2023-008308,CUST-259,1240.67,false,false,Fresh,24.81,0.00,24.81
TXN-2023-008309,CUST-259,1610.21,false,true,Fresh,32.20,16.10,48.31
TXN-2023-008310,CUST-259,1573.64,false,false,Fresh,31.47,0.00,31.47
TXN-2023-008311,CUST-259,800.50,false,false,Grocery,16.01,0.00,16.01
TXN-2023-008312,CUST-259,1656.31,false,false,Fresh,33.13,0.00,33.13
TXN-2023-008313,CUST-259,1123.00,false,false,Fresh,22.46,0.00,22.46
TXN-2023-008314,CUST-259,1908.85,false,false,Milk,38.18,0.00,38.18
TXN-2023-008315,CUST-259,1722.88,false,false,Fresh,34.46,0.00,34.46
TXN-2023-008316,CUST-259,3036.34,true,false,Grocery,75.91,0.00,75.91
TXN-2023-008317,CUST-259,848.26,true,false,Fresh,16.97,0.00,16.97
TXN-2023-008318,CUST-259,1267.44,false,false,Milk,25.35,0.00,25.35
TXN-2023-008319,CUST-259,1231.84,true,false,Fresh,24.64,0.00,24.64
TXN-2023-008320,CUST-259,1455.42,false,false,Fresh,29.11,0.00,29.11
TXN-2023-008321,CUST-259,2159.45,true,true,Frozen,53.99,21.59,75.58
TXN-2023-008322,CUST-259,1267.96,true,false,Grocery,25.36,0.00,25.36
TXN-2023-008323,CUST-259,841.29,true,false,Fresh,16.83,0.00,16.83
TXN-2023-008324,CUST-259,934.02,true,false,Fresh,18.68,0.00,18.68
TXN-2023-008325,CUST-259,1203.68,false,false,Fresh,24.07,0.00,24.07
TXN-2023-008326,CUST-259,2110.71,true,false,Milk,52.77,0.00,52.77
TXN-2023-008327,CUST-259,1402.18,true,true,Fresh,28.04,14.02,42.07
TXN-2023-008328,CUST-259,1217.62,true,false,Fresh,24.35,0.00,24.35
TXN-2023-008329,CUST-259,1440.82,false,false,Fresh,28.82,0.00,28.82
TXN-2023-008330,CUST-259,1162.25,true,false,Fresh,23.25,0.00,23.25
TXN-2023-008331,CUST-259,4219.55,true,false,Fresh,105.49,0.00,105.49
TXN-2023-008332,CUST-259,651.25,false,false,Fresh,13.03,0.00,13.03
TXN-2023-008333,CUST-259,1188.19,true,false,Fresh,23.76,0.00,23.76
TXN-2023-008334,CUST-259,1071.64,true,false,Fresh,21.43,0.00,21.43
TXN-2023-008335,CUST-259,1492.76,true,false,Fresh,29.86,0.00,29.86
TXN-2023-008336,CUST-259,1014.93,false,false,Fresh,20.30,0.00,20.30
TXN-2023-008337,CUST-259,2367.18,false,false,Fresh,59.18,0.00,59.18
TXN-2023-008338,CUST-259,1141.40,true,false,Fresh,22.83,0.00,22.83
TXN-2023-008339,CUST-259,701.35,true,false,Fresh,14.03,0.00,14.03
TXN-2023-008340,CUST-259,1001.37,true,false,Fresh,20.03,0.00,20.03
TXN-2023-008341,CUST-259,2782.49,true,false,Fresh,69.56,0.00,69.56
TXN-2023-008342,CUST-259,742.74,true,false,Frozen,14.85,0.00,14.85
TXN-2023-008343,CUST-259,1125.37,false,false,Grocery,22.51,0.00,22.51
TXN-2023-008344,CUST-259,2073.12,true,false,Fresh,51.83,0.00,51.83
TXN-2023-008345,CUST-259,2259.22,true,false,Fresh,56.48,0.00,56.48
TXN-2023-008346,CUST-259,2466.65,true,false,Fresh,61.67,0.00,61.67
TXN-2023-008347,CUST-259,666.78,true,false,Milk,13.34,0.00,13.34
TXN-2023-008348,CUST-259,484.23,true,false,Fresh,9.68,0.00,9.68
TXN-2023-008349,CUST-259,1352.50,true,false,Fresh,27.05,0.00,27.05
TXN-2023-008350,CUST-259,1312.54,true,false,Grocery,26.25,0.00,26.25
TXN-2023-008351,CUST-259,882.27,false,false,Fresh,17.65,0.00,17.65
TXN-2023-008352,CUST-259,1202.15,false,false,Fresh,24.04,0.00,24.04
TXN-2023-008353,CUST-259,1707.59,false,false,Fresh,34.15,0.00,34.15
TXN-2023-008354,CUST-259,1538.96,true,false,Fresh,30.78,0.00,30.78
TXN-2023-008355,CUST-259,1282.18,true,false,Frozen,25.64,0.00,25.64
TXN-2023-008356,CUST-259,2107.90,true,false,Milk,52.70,0.00,52.70
TXN-2023-008357,CUST-259,1191.31,true,false,Delicatessen,23.83,0.00,23.83
TXN-2023-008358,CUST-260,1612.07,false,false,Fresh,32.24,0.00,32.24
TXN-2023-008359,CUST-260,1365.53,true,false,Fresh,27.31,0.00,27.31
TXN-2023-008360,CUST-260,438.54,true,true,Grocery,8.77,4.39,13.16
TXN-2023-008361,CUST-260,1949.50,false,false,Fresh,38.99,0.00,38.99
TXN-2023-008362,CUST-260,728.22,false,true,Fresh,14.56,7.28,21.85
TXN-2023-008363,CUST-260,1339.93,true,false,Fresh,26.80,0.00,26.80
TXN-2023-008364,CUST-260,1063.18,true,false,Grocery,21.26,0.00,21.26
TXN-2023-008365,CUST-260,334.35,true,false,Fresh,6.69,0.00,6.69
TXN-2023-008366,CUST-260,1813.79,true,false,Fresh,36.28,0.00,36.28
TXN-2023-008367,CUST-260,1451.70,false,false,Fresh,29.03,0.00,29.03
TXN-2023-008368,CUST-260,1629.47,false,false,Fresh,32.59,0.00,32.59
TXN-2023-008369,CUST-260,1360.49,true,false,Fresh,27.21,0.00,27.21
TXN-2023-008370,CUST-260,1763.15,false,false,Fresh,35.26,0.00,35.26
TXN-2023-008371,CUST-260,1108.40,false,false,Delicatessen,22.17,0.00,22.17
TXN-2023-008372,CUST-260,2910.19,true,false,Fresh,72.75,0.00,72.75
TXN-2023-008373,CUST-260,1813.17,false,false,Fresh,36.26,0.00,36.26
TXN-2023-008374,CUST-260,895.68,true,false,Grocery,17.91,0.00,17.91
TXN-2023-008375,CUST-260,2310.94,true,false,Fresh,57.77,0.00,57.77
TXN-2023-008376,CUST-260,825.16,true,false,Frozen,16.50,0.00,16.50
TXN-2023-008377,CUST-260,1225.00,false,false,Fresh,24.50,0.00,24.50
TXN-2023-008378,CUST-260,1014.68,true,false,Grocery,20.29,0.00,20.29
TXN-2023-008379,CUST-260,1082.95,true,false,Fresh,21.66,0.00,21.66
TXN-2023-008380,CUST-260,2269.46,true,false,Frozen,56.74,0.00,56.74
TXN-2023-008381,CUST-260,2899.30,true,false,Frozen,72.48,0.00,72.48
